Player;Height w/o Shoes;Height w/ Shoes;Weight;Wingspan;Standing Reach;Body Fat %;Hand Length;Hand Width
Rawle Alkins SG;6? 2.75”;6? 4.25”;217.4;6? 8.75”;8? 3”;8.90%;8.50;10.00
Grayson Allen SG;6? 3”;6? 4.5”;198.0;6? 7.25”;8? 1”;5.55%;8.25;10.00
Kostas Antetokounmpo PF;6? 9”;6? 10.5”;194.8;7? 2.25”;9? 2”;5.00%;9.25;9.50
Udoka Azubuike C;6? 10”;7? 0.25”;273.8;7? 7”;9? 4.5”;7.95%;9.50;10.00
Mohamed Bamba C;6? 11.25”;7? 0.75”;225.6;7? 10”;9? 7.5”;6.20%;9.75;10.25
Jaylen Barford PG-SG;6? 1.25”;6? 2.25”;207.6;6? 3.5”;8? 0.5”;11.65%;8.00;8.25
Keita Bates-Diop SG-SF;6? 7.25”;6? 8.5”;223.8;7? 3.25”;8? 10.5”;5.35%;9.00;8.50
Tyus Battle SG;6? 5”;6? 6.75”;200.2;6? 9”;8? 6”;4.00%;8.50;9.25
Brian Bowen SG-SF;6? 6.25”;6? 7.5”;202.0;6? 10.25”;8? 7.5”;7.60%;9.00;10.00
Miles Bridges SF ‘;6? 5.25”;6? 6.75”;220.4;6? 9.5?;8? 7.5”;5.90%;9.00;9.75
Troy Brown SF;6? 5.75”;6? 6.75”;208.0;6? 10.25”;8? 9”;7.05%;9.00;9.75
Bruce Brown SG-PG;6? 3.5”;6? 5”;194.6;6? 9”;8? 2.5”;3.75%;8.50;8.50
Jalen Brunson PG;6? 1”;6? 2.25”;198.4;6? 4”;8? 0”;6.70%;8.25;9.25
Tony Carr PG;6? 3”;6? 4.5”;198.8;6? 8.25”;8? 4”;6.50%;8.50;9.75
Wendell Carter C-PF;6? 8.75”;6? 10”;251.4;7? 4.5”;9? 1”;7.85%;8.50;9.00
Jevon Carter PG;6? 0.25”;6? 1.5”;196.2;6? 4.25”;7? 11”;4.15%;9.25;8.50
Donte DiVincenzo SG;6? 3.5”;6? 4.5”;200.;6? 6.5”;8? 1.5”;5.00%;8.25;9.00
Hamidou Diallo SG;6? 4.25”;6? 6”;197.0;6? 11.5”;8? 7”;4.45%;8.75;9.00
Trevon Duval PG;6? 1.5”;6? 2.5”;191.0;6? 8.25”;8? 1.5”;5.20%;8.75;10.00
Carsen Edwards PG;5? 10.75”;6? 0”;195.6;6? 6.25”;7? 10.5”;6.30%;8.50;9.25
Jacob Evans SG-SF;6? 4.25”;6? 5.5”;199.6;6? 9.25”;8? 6.5”;6.50%;9.00;9.25
Keenan Evans SG-PG;6? 1.5”;6? 3”;183.2;6? 5.25”;8? 2”;6.50%;8.50;8.00
Bruno Fernando C;6? 8.75”;6? 9.75”;233.2;7? 4.25”;9? 1”;5.25%;9.50;10.00
Melvin Frazier SF-SG;6? 4.5”;6? 6”;198.2;7? 1.75”;8? 9”;7.90%;9.50;9.50
Shai Gilgeous-Alexander PG;6? 4.5”;6? 6”;180.0;6? 11.5”;8? 8”;3.00%;9.00;9.00
Devonte Graham PG;6? 0.25”;6? 1.5”;186.4;6? 6.25”;8? 0”;4.80%;8.50;9.50
Isaac Haas C;7? 1.25”;7? 2.75”;303.0;7? 5”;9? 3.5”;12.55%;10.00;10.50
Devon Hall SG;6? 4.25”;6? 6”;206.4;6? 7.75”;8? 6”;8.45%;8.50;10.00
Jaylen Hands PG;6? 1.5”;6? 2.75”;179.0;6? 5.5”;8? 2”;5.00%;8.00;8.00
Kevin Hervey SF-PF;6? 6.5”;6? 7.75”;211.6;7? 3.5”;8? 11”;5.15%;9.25;10.25
Aaron Holiday PG;5? 11.75”;6? 0.75”;187.0;6? 7.5”;8? 1”;6.40%;8.75;8.50
Kevin Huerter SG-SF;6? 6.25”;6? 7.25”;194.0;6? 7.5”;8? 5.5”;8.60%;8.25;8.50
Jaren Jackson Jr. PF-C;6? 9.75”;6? 11.25”;236.0;7? 5.25”;9? 2”;7.20%;10.00;10.00
Justin Jackson PF-SF;6? 6”;6? 6.75”;229.4;7? 3”;8? 9”;8.90%;9.00;9.50
Alize Johnson PF;6? 7.25”;6? 8”;216.6;6? 8.75?;8? 7”;8.10%;8.50;9.75 ‘
George King SF;6? 4.75”;6? 6”;218.6;6? 11.5”;8? 5.5”;7.25%;9.00;10.25
Kevin Knox SF-PF;6? 7.75”;6? 9”;212.6;6? 11.75”;9? 0”;4.95%;8.75;9.25
Sagaba Konate C-PF;6? 6.5”;6? 7.5”;246.0;7? 0”;8? 10.5”;7.35%;9.25;10.00
Cody Martin SG-SF;6? 4.75”;6? 6” 8?;188.6;6? 10.25”;8.5”;5.45%;8.50;9.00
Caleb Martin SF-SG;6? 4.75”;6? 6”;195.8;6? 10”;8? 5.5”;7.00%;8.50;8.75
Yante Maten PF-C;6? 7.25”;6? 8.5”;246.2;7? 0.5”;8? 11.5”;8.10%;9.25;10.00
Brandon McCoy C;6? 11.5”;7? 0.5”;250.4;7? 2”;9? 2.5”;8.70%;9.75;9.50
De'Anthony Melton SG-PG;6? 2.25”;6? 3.25”;193.2;6? 8.5”;8? 3.5”;5.20%;8.50;9.50
Chimezie Metu PF-C;6? 8.5”;6? 9.5”;219.6;7? 0.5”;9? 0”;5.05%;9.00;9.25
Shake Milton SG-PG;6? 4.5”;6? 5.5”;207.2;7? 0.75”;8? 3.5”;6.80%;8.75;9.50
Sviatoslav Mykhailiuk SG-SF;6? 6.5”;6? 7.75”;211.6;6? 4.75”;8? 4”;8.45%;8.25;9.50
Malik Newman SG;6? 2.5”;6? 3.25”;189.2;6? 5.5”;8? 2.5”;6.25%;8.50;9.50
Josh Okogie SG;6? 3”;6? 4.5”;210.8;7? 0”;8? 6”;5.20%;9.00;9.75
Theo Pinson SG-SF;6? 5”;6? 6.75”;211.2;6? 10.75”;8? 7.5”;7.35%;9.00;9.00
Michael Porter SF-PF;6? 9.5”;6? 10.75”;211.0;7? 0.25”;9? 0.5”;6.40%;8.75;9.25
Jontay Porter C-PF;6? 10”;6? 11.5”;236.0;7? 0.25”;9? 1”;13.85%;8.75;9.50
Billy Preston PF;6? 8.75”;6? 10.5”;222.4;7? 2”;9? 0”;5.45%;9.25;9.50
Raymond Spalding PF;6? 9”;6? 10.25”;215.4;7? 4.75”;9? 1”;5.55%;9.25;9.00
Jerome Robinson SG;6? 4”;6? 5”;188.4;6? 7.25”;8? 2”;6.05%;9.00;10.00
Collin Sexton PG;6? 0.5”;6? 1.5”;183.0;6? 7.25”;8? 2.5”;5.60%;8.25;8.50
Landry Shamet PG;6? 4”;6? 5.25”;188.6;6? 6.75”;8? 4”;4.85%;8.00;9.00
Anfernee Simons SG-PG;6? 2.25”;6? 3.25”;183.2;6? 9.25”;8? 3.5”;7.70%;8.75;9.00
Zhaire Smith SG;6? 2.75”;6? 4”;198.6;6? 9.75”;8? 4”;6.05%;8.75;8.25
Omari Spellman PF-C;6? 8”;6? 9.25”;253.8;7? 2”;8? 11.5”;13.75%;9.00;9.00
Khyri Thomas SG;6? 2.5”;6? 3.75”;198.8;6? 10.5”;8? 5”;6.40%;8.75;9.25
Gary Trent Jr. SG;6? 4.25”;6? 5.75”;204.2;6? 8.75”;8? 2”;7.00%;8.50;9.50
Allonzo Trier SG;6? 3.75”;6? 5.25”;198.0;6? 6.75”;8? 2”;4.95%;8.25;10.50
Moritz Wagner C-PF;6? 10.5”;6? 11.5”;241.4;7? 0”;9? 0”;6.75%;9.00;10.75
Lonnie Walker SG;6? 3.75”;6? 4.5”;196.2;6? 10.25”;8? 3.5”;5.65%;9.00;9.50
PJ Washington PF;6? 6.5”;6? 8”;223.0;7? 2.5”;8? 11”;6.85%;9.00;10.25
Austin Wiley C;6? 8.25”;6? 10”;249.4;7? 5”;9? 3”;5.00%;9.75;10.25
Kris Wilkes SF;6? 6.5”;6? 7.5”;205.0;6? 10.25”;8? 7.5”;5.15%;8.75;9.25
Kenrich Williams SF;6? 6”;6? 7.5”;200.4;6? 7.25”;8? 7.5”;5.95%;8.50;9.75
Trae Young PG;6? 0.5”;6? 1.75”;177.8;6? 3?;7? 11.5”;5.35% ‘;8.00;9.25
